,Contract,Title,Type of contract,Short description,Total value,Place of performance,Contractor,Notice dispatch date,Short description tokenized
0,000007-2017,"Framework contract for the provision of passenger transfer services by land, by bus; lot 1 — Lesvos",SERVICES,Provision of passenger transfer services by bus in Greece — Lesvos island.,150000.0,GR,['Vagia Tzislaki — Lesvorama General Travel Agency'],2016-12-22,provision passenger transfer service bus greece lesvos island
1,000007-2017,"Framework contract for the provision of passenger transfer services by land, by bus; lot 2 — Chios",SERVICES,"Provision of passenger services by bus in Greece, Chios island.",150000.0,GR,['Vagia Tzislaki — Lesvorama General Travel Agency'],2016-12-22,provision passenger service bus greece chios island
2,000007-2017,"Framework contract for the provision of passenger transfer services by land, by bus; lot 3 — Kos",SERVICES,"Framework contract for the provision of passenger transfer services by land, by bus. Lot 3 — Kos.",,GR,,2016-12-22,framework contract provision passenger transfer service land bus lot 3 kos
3,008449-2018,"Provision of HID® FARGO® HDP5000 ID card printers, consumables and services",SUPPLIES,"The subject of the contract is provision of HID® FARGO® HDP5000 ID card printers, consumables and services, as described in the terms of reference (Annex II to the invitation to tender).",190000.0,PL,['Control system FMN Sp z oo'],2018-01-04,subject contract provision hid ® fargo ® hdp5000 id card printer consumable service describe term reference annex ii invitation tender
4,008450-2018,Provision of painting services for Frontex,SERVICES,Provision of painting services for Frontex.,,PL,,2018-01-04,provision painting service frontex
5,008683-2021,Maritime Surveillance Aerostat 2 Technology Pilot,SERVICES,"The global objective of this tender is to lease two surveillance aerostats to carry out a second pilot project, supported by a host Member State: Greece, aiming to assess the capacity and cost efficiency of aerostats performing maritime surveillance in an operational environment. The scope of the tender is then to establish a service contract to deploy, operate and assess for a period of minimum of four months and maximum of six months two surveillance aerostats, including in the contract the provision of the equipment and experts to conduct the trial.",3009000.0,EL,"['in-innovative navigation GmbH', 'CNIM AIR SPACE SAS']",2021-01-04,global objective tender lease surveillance aerostat carry second pilot project support host member state greece aiming assess capacity cost efficiency aerostat performing maritime surveillance operational environment scope tender establish service contract deploy operate assess period minimum month maximum month surveillance aerostat including contract provision equipment expert conduct trial
6,010369-2021,Research Study on Technology Foresight on Biometrics for the Future of Travel,SERVICES,This procurement procedure aims to conclude a direct service contract with the selected tenderer for the provision of a Research Study in the area of Technology Foresight on Biometrics for the Future of Travel. The detailed description of the required service is provided in Annex 02: Terms of Reference.,491500.0,PL91,['Steinbeis 2I GMBH'],2021-01-05,procurement procedure aim conclude direct service contract select tenderer provision research study area technology foresight biometrics future travel detailed description require service provide annex 02 term reference
7,010370-2021,Maritime Analysis Tools,SERVICES,"For the purpose of this contract, Maritime Analysis Tools is defined as a system that works with maritime ‘big data’ (e.g. maritime reporting systems data, information on ship ownership/management, historical movements of vessels, and relevant open source information). The system must be capable of producing information of interest for border/coast guard and law enforcement authorities by performing the following functions: (a) capturing, collecting, storing, searching, querying, visualization and updating maritime ‘big data’; (b) analysing, identifying/categorising high-risk threats, assessing maritime risks and informing policy and practice in this work area of the maritime domain; (c) performing analytical capabilities to research systematically the maritime risk environment and deliver a set of products, such as risk alerts/profiles, periodical strategic overviews, maritime area analyses and EU/regional risk maps.",1807200.0,PL911,['Windward Ltd'],2021-01-05,purpose contract maritime analysis tools define system work maritime big datum e.g. maritime reporting system datum information ship ownership / management historical movement vessel relevant open source information system capable producing information interest border / coast guard law enforcement authority performing follow function capture collect store search query visualization update maritime big datum b analyse identify / categorise high risk threat assess maritime risk inform policy practice work area maritime domain c performing analytical capability research systematically maritime risk environment deliver set product risk alert / profile periodical strategic overview maritime area analysis eu / regional risk map
8,010627-2018,Planned missions,SERVICES,"Provision for Frontex the chartered aircraft, properly manned, maintained, equipped, fuelled and fully insured, in order to carry out the planned return flights.",18000000.0,00,"['AS Aircontact', 'Air Charter Service Limited']",2018-01-04,provision frontex charter aircraft properly man maintain equip fuel fully insure order carry plan return flight
9,010627-2018,Short notice missions,SERVICES,"Provision for Frontex the chartered aircraft, properly manned, maintained, equipped, fuelled and fully insured, in order to carry out the short notice return flights.",2000000.0,00,"['AS Aircontact', 'Air Charter Service Limited']",2018-01-04,provision frontex charter aircraft properly man maintain equip fuel fully insure order carry short notice return flight
